species_code,common_name,image_name
AA1A,Bowhead whale,AA1A_Bowhead-Whale.png
AA3A,Northern right whale,AA3A_Whale_North_Atlantic_Right.png
AA3B,Southern right whale,AA3B_southern-right-whale.png
AC1A,Minke whale,AC1A-minke-whale.png
AC1F,Fin - Finback whale,AC1F_fin-whale.png
AC2A,Humpback whale,AC2A_Whale-Humpback.png
BA2A,Sperm whale,BA2A_sperm-whale.png
BB1A,Beluga - white whale,BB1A_Whale-Beluga.png
BB2A,Narwhal,BB2A_narwhal.png
BD10A,Melon-headed whale,BD10A_melon-headed-whale.png
BD15A,Spotted dolphin,BD15A_pantropical-spotted-dolphin.png
BD15B,Clymene Dolphin,BD15B_clymene-dolphin.png
BD15C,Striped dolphin,BD15C_striped-dolphin.png
BD15F,Atlantic Spotted Dolphin,BD15F_atlantic-spotted-dolphin.png
BD15L,Spinner dolphin,BD15L_spinner-dolphin.png
BD17A,Rough-toothed dolphin,BD17A_rough-toothed-dolphin.png
BD19D,Atlantic Bottlenose dolphin,BD19D_dolphin_bottlenose.png
BD3B,Saddleback - common dolphin,BD3B_short-beaked-common-dolphin.png
BD4A,Grampus - Risseau' s dolphin,BD4A-rissos-dolphin.png
BD5A,Fraser's dolphin,BD5A_frasers-dolphin.png
BD6A,White-sided dolphin,BD6A_atlantic-white-sided-dolphin.png
BD6B,White-beaked dolphin,BD6B_white-beaked-dolphin.png
BE3C,Long-finned pilot,BE3C_long-finned-pilot-whale.png
BE7A,Killer whale,BE7A_killer-whale.png
BE9A,False killer,BE9A_false-killer-whale.png
CB1A,Walrus,CB1A_walrus.png
CC12G,Harp seal,CC12G_Seal-Harp.png
CC14A,Ross seal,CC14A_Adult-Ross-seal-Ommatophoca-rossi.png
CC2A,Bearded seal,CC2A_bearded-seal.png
CC4A,Leopard seal,CC4A_Leopard_Seal.png
CC5A,Weddell seal,CC5A_Weddell_Seal.png
